country,geodata,filtered_country,point
Africa,Africa,Africa,"(11.5024338, 17.7578122, 0.0)"
Antarctica,Antarctica,Antarctica,"(-79.4063075, 0.3149312, 0.0)"
Argentina,Argentina,Argentina,"(-34.9964963, -64.9672817, 0.0)"
Armenia,Հայաստան,Հայաստան,"(40.7696272, 44.6736646, 0.0)"
Asia,Asia,Asia,"(51.2086975, 89.2343748, 0.0)"
Australia,Australia,Australia,"(-24.7761086, 134.755, 0.0)"
Azərbaycan,Azərbaycan,Azərbaycan,"(40.3936294, 47.7872508, 0.0)"
Bangladesh,বাংলাদেশ,বাংলাদেশ,"(24.4768783, 90.2932426, 0.0)"
Barbados,Barbados,Barbados,"(13.1500331, -59.5250305, 0.0)"
België - Belgique - Belgien,België / Belgique / Belgien,België / Belgique / Belgien,"(50.6402809, 4.6667145, 0.0)"
België / Belgique / Belgien,België / Belgique / Belgien,België / Belgique / Belgien,"(50.6402809, 4.6667145, 0.0)"
Botswana,Botswana,Botswana,"(-23.1681782, 24.5928742, 0.0)"
Brasil,Brasil,Brasil,"(-10.3333333, -53.2, 0.0)"
Cambodia,ព្រះរាជាណាចក្រ​កម្ពុជា,ព្រះរាជាណាចក្រ​កម្ពុជា,"(13.5066394, 104.869423, 0.0)"
Cameroun,Cameroun,Cameroun,"(4.6125522, 13.1535811, 0.0)"
Canada,Canada,Canada,"(61.0666922, -107.9917071, 0.0)"
Chile,Chile,Chile,"(-31.7613365, -71.3187697, 0.0)"
China 中国,中国,中国,"(35.000074, 104.999927, 0.0)"
Colombia,Colombia,Colombia,"(2.8894434, -73.783892, 0.0)"
Costa Rica,Costa Rica,Costa Rica,"(10.2735633, -84.0739102, 0.0)"
Cuba,Cuba,Cuba,"(23.0131338, -80.8328748, 0.0)"
Danmark,Danmark,Danmark,"(55.670249, 10.3333283, 0.0)"
Deutschland,Deutschland,Deutschland,"(51.0834196, 10.4234469, 0.0)"
Ecuador,Ecuador,Ecuador,"(-1.3397668, -79.3666965, 0.0)"
Eesti,Eesti,Eesti,"(58.7523778, 25.3319078, 0.0)"
Egypt / مصر,مصر,مصر,"(26.2540493, 29.2675469, 0.0)"
España,España,España,"(39.3262345, -4.8380649, 0.0)"
Ethiopia,ኢትዮጵያ,ኢትዮጵያ,"(10.2116702, 38.6521203, 0.0)"
Europa,Europa,Europa,"(51.0, 10.0, 0.0)"
France,France,France,"(46.603354, 1.8883335, 0.0)"
Ghana,Ghana,Ghana,"(8.0300284, -1.0800271, 0.0)"
Guatemala,Guatemala,Guatemala,"(15.6356088, -89.8988087, 0.0)"
Guernsey,Guernsey,Guernsey,"(49.579520200000005, -2.5290434448309886, 0.0)"
Haiti,Ayiti,Ayiti,"(19.1399952, -72.3570972, 0.0)"
Honduras,Honduras,Honduras,"(15.2572432, -86.0755145, 0.0)"
India,भारत - India,भारत - India,"(22.3511148, 78.6677428, 0.0)"
Indonesia,Indonesia,Indonesia,"(-2.4833826, 117.8902853, 0.0)"
Inexpressible Island,Inexpressible Island,Inexpressible Island,"(-74.8973732, 163.67607102861984, 0.0)"
Iraq,العراق,العراق,"(33.0955793, 44.1749775, 0.0)"
Ireland,Ireland,Ireland,"(52.865196, -7.9794599, 0.0)"
Italia,Italia,Italia,"(42.6384261, 12.674297, 0.0)"
Jamaika,"Jamaica, Spanish Town, Saint Catherine, Middlesex County, Jamaika","Jamaica, Spanish Town, Saint Catherine, Middlesex County, Jamaika","(18.1152958, -77.1598454610168, 0.0)"
Jersey,"Jersey, Saint Lawrence, Jersey","Jersey, Saint Lawrence, Jersey","(49.21230655, -2.1255999596428845, 0.0)"
Jordan / الأُرْدُن,الأردن,الأردن,"(31.1667049, 36.941628, 0.0)"
Kazakhstan,Казахстан,Казахстан,"(47.2286086, 65.2093197, 0.0)"
Kenya,Kenya,Kenya,"(1.4419683, 38.4313975, 0.0)"
Libya / ليبيا,ليبيا,ليبيا,"(26.8234472, 18.1236723, 0.0)"
Lietuva,Lietuva,Lietuva,"(55.3500003, 23.7499997, 0.0)"
Magyarország,Magyarország,Magyarország,"(47.1817585, 19.5060937, 0.0)"
Malawi,Malawi,Malawi,"(-13.2687204, 33.9301963, 0.0)"
Malaysia,Malaysia,Malaysia,"(4.5693754, 102.2656823, 0.0)"
Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,"(31.1728205, -7.3362482, 0.0)"
Mauritius,Mauritius,Mauritius,"(-20.2759451, 57.5703566, 0.0)"
Moldova,Moldova,Moldova,"(47.2879608, 28.5670941, 0.0)"
México,"Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México","Ciudad de México, Cuauhtémoc, Ciudad de México, 06060, México","(19.4326296, -99.1331785, 0.0)"
Nederland,Nederland,Nederland,"(52.5001698, 5.7480821, 0.0)"
New Zealand,New Zealand / Aotearoa,New Zealand / Aotearoa,"(-41.5000831, 172.8344077, 0.0)"
New Zealand / Aotearoa,New Zealand / Aotearoa,New Zealand / Aotearoa,"(-41.5000831, 172.8344077, 0.0)"
Nigeria,Nigeria,Nigeria,"(9.6000359, 7.9999721, 0.0)"
Norge,"Norge, Namsos, Trøndelag, Norge","Norge, Namsos, Trøndelag, Norge","(64.5731537, 11.52803643954819, 0.0)"
North America,North America,North America,"(51.0000002, -109.0000002, 0.0)"
Palestinian Territory,,,
Panama,Panamá,Panamá,"(8.559559, -81.1308434, 0.0)"
Panamá,Panamá,Panamá,"(8.559559, -81.1308434, 0.0)"
Peru,Perú,Perú,"(-6.8699697, -75.0458515, 0.0)"
Perú,Perú,Perú,"(-6.8699697, -75.0458515, 0.0)"
