location,target_count,target_sum,geodata,address,point
  ,1,1,,,
  glasgow ,1,0,"Glasgow, Glasgow City, Scotland, G2 9SA, United Kingdom","Glasgow, Glasgow City, Scotland, G2 9SA, United Kingdom","(55.8609825, -4.2488787, 0.0)"
"  melbourne, australia",1,0,"City of Melbourne, Victoria, Australia","City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608, 0.0)"
  news,1,1,"34375, Abbotsford Centre, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 2H5, Canada","34375, Abbotsford Centre, Abbotsford, Fraser Valley Regional District, British Columbia, V2S 2H5, Canada","(49.04172215, -122.27255349013137, 0.0)"
 alberta,1,1,"Alberta, Canada","Alberta, Canada","(55.001251, -115.002136, 0.0)"
 blood indian reserve,1,0,"Blood Indian Creek, Special Area No. 3, Alberta, Canada","Blood Indian Creek, Special Area No. 3, Alberta, Canada","(50.9665414, -111.127304, 0.0)"
 bouvet island,1,1,"Bouvetøya, Norge","Bouvetøya, Norge","(-54.4201305, 3.3599732952297483, 0.0)"
" eugene, oregon",1,0,"Eugene, Lane County, Oregon, United States of America","Eugene, Lane County, Oregon, United States of America","(44.0505054, -123.0950506, 0.0)"
 indiana,1,0,,,
 jariana town,1,0,,,
" little rock, ar",1,0,"Little Rock, Arkansas, United States of America","Little Rock, Arkansas, United States of America","(34.7464809, -92.2895948, 0.0)"
 miami beach,1,0,"Miami Beach, Miami-Dade County, Florida, United States of America","Miami Beach, Miami-Dade County, Florida, United States of America","(25.7929198, -80.1353006, 0.0)"
" nevada carson city,freeman st",1,1,,,
 neverland ,1,0,"Neverland, Carmel-by-the-Sea, Monterey County, California, 93921, United States of America","Neverland, Carmel-by-the-Sea, Monterey County, California, 93921, United States of America","(36.5483056, -121.9197466, 0.0)"
 new delhi ,1,0,"New Delhi, Delhi, India","New Delhi, Delhi, India","(28.6141793, 77.2022662, 0.0)"
 new england,1,1,"New England, Hettinger County, North Dakota, 58647, United States of America","New England, Hettinger County, North Dakota, 58647, United States of America","(46.5391751, -102.8682231, 0.0)"
 nxgerxa,1,0,,,
" queensland, australia",2,1,"Queensland, Australia","Queensland, Australia","(-22.1646782, 144.5844903, 0.0)"
 road to the billionaires club,6,1,,,
 the world,1,1,"World, Victoria Street, Mitchelltown, Te Aro, Wellington, Wellington City, Wellington, 6040, New Zealand","World, Victoria Street, Mitchelltown, Te Aro, Wellington, Wellington City, Wellington, 6040, New Zealand","(-41.289636, 174.7757724, 0.0)"
 tropical se florida,1,0,"Tropical, Southwest 177th Avenue, Homestead Trailer Park, Homestead, Miami-Dade County, Florida, 33030, United States of America","Tropical, Southwest 177th Avenue, Homestead Trailer Park, Homestead, Miami-Dade County, Florida, 33030, United States of America","(25.483860200000002, -80.4780440501066, 0.0)"
a botanical garden probably,1,0,,,
a box,1,0,"A Box, Fran Wilde Walk, Pipitea, Wellington, Wellington City, Wellington, New Zealand","A Box, Fran Wilde Walk, Pipitea, Wellington, Wellington City, Wellington, New Zealand","(-41.275635199999996, 174.78381817208367, 0.0)"
a hoop somewhere,1,0,,,
a small federal enclave,1,1,,,
a sofa,1,0,"188, Շահումյան փողոց, Գյումրի, Շիրակի մարզ, 3104, Armenia","188, Շահումյան փողոց, Գյումրի, Շիրակի մարզ, 3104, Armenia","(40.7836121, 43.8420134, 0.0)"
a van down by the river,1,0,,,
"aarhus, central jutland",1,0,"Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark","Aarhus, Aarhus Kommune, Region Midtjylland, 8000, Danmark","(56.1496278, 10.2134046, 0.0)"
